Class_1,Class_2,Class_3,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6
0,1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,0,1
1,0,0,1,0,1,1,1,1
1,1,0,0,1,1,1,1,1
0,1,0,2,1,1,1,1,1
1,1,0,1,0,1,1,1,2
0,1,0,0,2,1,1,1,1
1,1,0,1,1,1,1,1,1
0,1,1,1,1,1,2,2,1
0,1,0,0,2,1,1,1,1
1,1,1,2,1,1,1,0,2
1,1,1,1,1,1,2,2,1
0,0,0,1,1,2,2,1,1
1,1,1,1,2,1,1,2,1
1,0,1,1,0,1,1,0,1
1,1,1,1,0,2,1,1,1
1,1,0,1,1,1,1,1,1
0,1,1,1,0,1,1,0,1
0,1,1,1,1,2,1,1,1
0,0,0,1,1,1,1,1,1
0,1,1,1,1,1,1,1,2
0,1,1,1,0,2,2,1,1
1,1,0,1,0,2,1,0,1
1,1,0,1,0,1,2,1,1
1,0,0,1,2,1,1,1,1
1,1,0,1,0,1,1,0,1
0,0,0,1,0,1,1,1,1
1,1,1,2,2,0,2,2,0
0,0,1,0,1,1,2,2,1
0,0,0,0,2,1,0,1,1
1,0,1,1,0,1,0,0,1
1,1,1,1,1,0,1,2,0
1,1,0,1,2,1,2,2,1
1,1,0,1,1,0,0,0,1
0,0,1,1,0,2,1,1,1
1,1,0,0,0,1,1,1,1
0,1,1,0,1,1,1,2,1
1,0,1,0,2,1,0,2,1
1,0,1,1,1,1,1,1,1
0,1,0,0,0,1,2,2,1
1,1,0,2,1,1,1,0,1
0,1,0,1,1,1,1,1,1
1,1,0,1,0,1,0,1,1
1,1,1,1,2,1,2,1,1
0,1,0,1,2,2,1,2,1
0,0,0,0,1,2,1,1,2
0,0,0,1,0,1,1,1,1
1,1,0,2,2,1,1,1,1
0,0,0,1,1,1,2,1,2
0,1,0,0,1,1,1,1,1
0,1,1,0,0,1,1,0,1
1,1,0,1,1,1,2,2,1
1,1,0,1,1,1,1,0,1
1,1,1,1,1,0,2,2,0
0,1,0,0,1,2,0,2,1
0,0,0,1,1,2,1,2,2
0,1,1,0,1,2,1,1,2
0,1,0,0,1,1,2,1,2
1,1,0,1,2,0,1,2,0
1,1,0,1,2,1,2,1,1
0,1,0,0,1,2,2,1,2
1,1,1,0,0,1,1,2,2
1,1,0,1,1,1,1,2,1
0,1,0,1,1,1,1,1,1
1,1,0,2,1,1,2,0,2
1,1,0,1,1,1,1,1,1
0,0,1,0,1,1,0,2,0
1,0,0,1,0,1,1,1,2
0,1,0,1,0,2,1,1,1
0,1,0,1,1,2,1,2,1
0,1,1,1,1,0,1,2,0
1,0,0,1,0,0,2,1,1
0,1,0,0,1,1,1,1,1
1,0,1,1,2,1,1,1,1
1,1,0,2,1,1,1,1,1
1,0,0,1,1,0,1,2,1
0,1,0,2,1,1,1,0,1
1,1,1,1,1,1,2,0,1
0,0,0,1,1,1,1,0,1
1,1,0,2,1,0,2,0,1
1,0,0,1,0,0,2,0,1
0,1,0,1,0,1,2,1,1
